Country,Year,Gender,BMI,Alcohol,Tuberculosis,Life Expectancy at birth,Syphilis,HIV/AIDS,Self-harm,Stroke,Natural disasters,Epilepsy,Parkinson disease,Alzheimer disease and other dementias,Alcohol use disorders,Diabetes mellitus,Other nutritional deficiencies,Preterm birth complications,Road injury
Afghanistan,2019,Male,25.05333333,0.003,4.454468811,63.29,0.050986112,0.315,0.904953833,7.870852114,0.067079101,0.546306891,0.342578502,0.782332922,0.115592673,1.524382911,0.008920655,6.921106079,4.852877182
Afghanistan,2019,Female,25.05333333,0.022,5.384609924,63.16,0.043189858,0.148926341,0.667652631,11.18936987,0.067359999,0.446324614,0.284960488,0.982525382,0.03430106,4.225173155,0.017773887,5.709515533,1.18028558
Afghanistan,2015,Male,22.5,0.002,6.109258301,61.04,0.05666638,0.238,0.768235515,18.31639706,1.382456317,0.288207525,0.64505162,0,0.098770161,1.281742477,0.009543676,8.487918549,0.303414007
Afghanistan,2015,Female,24,0.014,7.384937225,62.35,0.047379441,0.104999999,0.59740149,9.646481935,0.172981322,0.408465256,0.230915636,0.808600579,0.030970228,3.38631783,0.017670121,6.912942078,0.961441754
Afghanistan,2010,Male,22.1,0.006,5.652315277,59.6,0.051922148,0.156,0.692336002,6.490832687,0.219533274,0.552847322,0.245824491,0.532144902,0.087514381,1.045921798,0.012308007,9.010966919,3.30646419
Afghanistan,2010,Female,23.4,0.042,6.681425598,60.3,0.044083591,0.070656047,0.552652489,8.583619893,0.137333838,0.45512414,0.185811451,0.65422833,0.028496055,2.575617522,0.020062882,7.444175629,0.901237445
Afghanistan,2000,Male,21.3,0.009,6.370347397,54.57,0.046049836,0.047,0.537208818,5.501336457,0,0.475120496,0.185426865,0.373477372,0.073527797,0.666836718,0.011976071,9.816391907,2.380401958
Afghanistan,2000,Female,22.1,0.06,7.700544891,55.42,0.039459196,0.016683248,0.482996039,6.664213385,0,0.378721351,0.117204336,0.423241813,0.025687322,1.394314525,0.015967735,8.131090393,0.663948594
Albania,2019,Male,25.05333333,11.02,0.005686182,76.25,0.000397244,0.024,0.087084142,3.449556818,0.033273096,0.020832932,0.186713298,0.50575818,0.013333635,0.089746232,0.000471257,0.06015138,0.258880596
Albania,2019,Female,25.05333333,2.53,0.00274174,79.91,0.000422206,0.001605027,0.037884598,5.34073352,0.020578354,0.023257495,0.181825431,1.321325634,0.005069489,0.118747586,0.001320666,0.046230596,0.078180776
Albania,2015,Male,26.9,10.3,0.005705152,76.1,0.000446758,0.015,0.092428883,3.212549639,0.036818827,0.142637848,0.327033801,0,0.012884978,0.076329538,0.00040272,0.052951639,0.002424666
Albania,2015,Female,26.2,2.39,0.002750887,79.69,0.000703532,0,0.045016514,3.20280271,0.000396439,0.022007046,0.11069247,0.645728015,0.004417561,0.084690831,0.000904861,0.04182126,0.092235319
Albania,2010,Male,26.4,11.53,0.005818652,74.23,0.000625698,0.01,0.141365793,2.020553768,0.001254433,0.029260367,0.096105494,0.204335008,0.015961604,0.066175659,0.000386312,0.061509052,0.31072132
Albania,2010,Female,25.8,2.76,0.002805614,78.31,0.00078873,0,0.089480689,2.09266815,0.000776728,0.032920359,0.069389467,0.313259583,0.005789045,0.066730274,0.000785514,0.045833987,0.104278672
Albania,2000,Male,25.4,12.11,0.015423108,70.65,0.001159607,0.003,0.110147781,2.173549793,0,0.044618479,0.087136709,0.197341106,0.014092958,0.082466508,0.000782557,0.171695625,0.354657551
Albania,2000,Female,25,2.86,0.007436652,76.92,0.000426762,0,0.043777914,2.186541644,0,0.030499364,0.06230185,0.383679977,0.001767802,0.070429827,0.000696924,0.117036884,0.094342452
Algeria,2019,Male,25.05333333,0.17,1.646268047,76.23,0.022712403,0.123000001,0.681545324,11.16408176,0,0.186511038,0.735280238,2.998656103,0.066920078,1.968862719,0.011392645,2.966152191,6.103114716
Algeria,2019,Female,25.05333333,1.09,1.194154495,78.12,0.018164485,0.070000001,0.390352883,12.2285718,0,0.168117949,0.513417642,2.636205669,0.014285562,2.709376796,0.008939806,2.475127563,2.893350807
Algeria,2015,Male,24.6,0.16,1.869795074,75.65,0.024212842,0.113999999,0.673165789,24.45792513,0.588546618,0.608492218,2.345123333,0,0.062325521,1.59811516,0.009872376,2.833138672,0.193038179
Algeria,2015,Female,26.3,1.04,1.356294464,77.5,0.018420385,0.063,0.391032664,10.85127817,0.004676362,0.170937504,0.433589498,2.148534492,0.01353016,2.292489793,0.007880738,2.383993912,2.69091684
Algeria,2010,Male,24.2,0.12,1.76700882,74.95,0.025188991,0.086,0.693319639,8.101507587,0,0.18648113,0.472202738,1.726909948,0.05861667,1.199248116,0.008906258,2.944973389,5.472342903
